Epoch,Discriminator Loss,Generator Loss
1,-629.5225906001066,277.2051913899839
2,-2058.0374141019934,1189.5668428621025
3,16.20998564278683,559.4868908660186
4,8.776351823221388,498.58423885725955
5,1.0892931901280531,462.1671898493072
6,-1.0427348307331505,446.71371112638116
7,-1.7958557791722096,430.9628145652049
8,-1.8557663604883892,409.30957472232905
9,-1.9606099561657138,387.77431989508824
10,-2.0905344272818405,368.1875424982642
11,-2.171131212083275,345.80493214795047
12,-2.286501639639325,329.6064536248327
13,-2.404000321846179,316.88224527110225
14,-2.5531553890546568,302.7076876120799
15,-2.487572163838865,292.33901961929047
16,-2.5288375744124507,281.0603133491848
17,-2.5075804203215157,268.20517580466503
18,-2.4863527664900436,251.9463547026105
19,-2.4514530872749853,239.069659298948
20,-2.3948741689362487,225.9548544920314
21,-2.412676535451504,211.65444762871394
22,-2.4637450177956115,202.3274737306873
23,-2.3748596387217416,189.70715888138014
24,-2.3042074836542845,182.05601111214483
25,-2.304932322153045,173.5596580993184
26,-2.3093633354853487,165.6637530509773
27,-2.3643852431527184,161.1720141047407
28,-2.3304891248645685,157.93994511362843
29,-2.3372758671145917,150.0892260227057
30,-2.345728807322814,148.9207413227052
31,-2.647557637270759,149.96255342917675
32,-2.780302153066601,150.32378648918913
33,-2.81990690487425,149.18040922901514
34,-2.8518918001133464,148.61136832078705
35,-2.8214300494364766,148.15226505601498
36,-2.8522919849361603,147.6226759810582
37,-2.8192993317113815,146.5809449686114
38,-2.835353914581601,145.80579903058688
39,-2.835613058046307,145.57939329415635
40,-2.8262680300971126,144.61961411576138
41,-2.814485739564042,144.47151751896305
42,-2.817860823572444,143.7558537553948
43,-2.821316894820279,144.06394630685793
44,-2.7905767657567777,143.00481225523498
45,-2.803759677025973,143.05858703769383
46,-2.7925936427262736,143.2445499195772
47,-2.777370323915311,142.82842256589925
48,-2.7780754179372202,142.5518541848263
49,-2.7714607499139694,142.55879582163624
50,-2.752379188604672,142.43279260503667
51,-2.7049905346787493,141.93392864334615
52,-2.723754786621884,141.2269614919677
53,-2.722503505704348,140.58861471502982
54,-2.7050528067457096,140.389822586723
55,-2.690445367485056,139.90110527097113
56,-2.7134638050633013,139.5379160029809
57,-2.641127445051432,138.82293404581603
58,-2.620402939026923,139.0126243454721
59,-2.6875069900546844,138.98739705976013
60,-2.6380235372144547,138.98622453304202
61,-2.746476382855564,138.37330395242444
62,-2.7753492840720564,138.27189169881288
63,-2.7225405124142346,138.70415822685223
64,-2.762679113146594,138.95493302991628
65,-2.7531474182367934,138.74488744711329
66,-2.7974988664202676,138.60333123170506
67,-2.777348356326218,138.86125231886763
68,-2.7638558629528642,138.62230335050228
69,-2.7908145937773274,138.90298647282984
70,-2.7747612405006232,139.08360895415402
71,-2.8021928983576156,138.89730673007037
72,-2.7627989521721745,138.88098831371883
73,-2.764857398427051,138.61114796592148
74,-2.775006211017404,138.72285877042415
75,-2.7610464096069336,138.7574332547005
76,-2.763188379347477,138.40094782446351
77,-2.8041088241140555,138.62614136522689
78,-2.77042439115017,138.58989081419338
79,-2.7340222862370482,138.4485824663011
80,-2.743744298625175,138.27955463536256
81,-2.7738539341770476,138.3235296264024
82,-2.7583054859010154,138.00705375573824
83,-2.7072125586402387,138.3833053471792
84,-2.7682133707244074,138.0027513821107
85,-2.7556008856619716,137.89996999364985
86,-2.781889209357064,137.89615958913816
87,-2.780921022910291,137.90900212358636
88,-2.7491053469345696,137.92323262246367
89,-2.7510180615098276,137.6037964491588
90,-2.759286035357229,137.83436311297405
91,-2.753198175936404,137.86394225605918
92,-2.7473341560424744,137.85924225634017
93,-2.7722943066940893,137.88753454886435
94,-2.810986898896639,137.9259369598935
95,-2.7876044773994506,137.8684019005817
96,-2.768897638144091,137.96119071394585
97,-2.757349299347919,137.91876577782205
98,-2.7737284502409914,137.91813322101407
99,-2.765353559837927,137.9463765176056
100,-2.8169760963191157,137.93238898860218
